Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
17	2	1992	-2.54	2.26	1.37	0.7449148040022591
18	2	1992	-1.44	2.05	4.86	0.44459151447712675
19	2	1992	-1.52	3.78	0.39	0.8286247805160698
20	2	1992	0.13	4.47	0.62	0.660446278675148
21	2	1992	2.55	6.75	0.27	0.8514504924496908
22	2	1992	3.2	8.05	2.67	0.719879323058466
23	2	1992	3.62	8.28	1.19	1.1758984894296851
24	2	1992	3.79	8.41	0.29	0.8070883090832897
25	2	1992	-0.24	8.08	0.16	1.1879823984783433
26	2	1992	0.44	9.3	0.58	1.4114261164099735
27	2	1992	2.44	10.26	6.07	0.8608413366024105
28	2	1992	-2.01	6.48	0.03	1.4775204688275232
29	2	1992	-1.51	7.12	0.23	1.041960126126948
1	3	1992	2.37	7.3	6.6	0.8314920999164768
2	3	1992	2.01	5.49	1.43	0.6074541422343043
3	3	1992	4.94	9.8	1.61	1.6937106026203335
4	3	1992	4.75	11.55	0.03	1.4798532622526515
5	3	1992	2.72	8.87	1.29	0.7976557706748766
6	3	1992	3.62	9.71	0.59	1.3605457029653802
7	3	1992	2.82	9.98	2.01	1.2487657985975646
8	3	1992	-0.77	8.27	0.03	1.8519464860571708
9	3	1992	-0.31	6.07	2.31	0.7865751971326358
10	3	1992	1.96	7.24	4.31	1.0750532060873224
11	3	1992	2.03	7.15	4.38	1.0972160817056045
12	3	1992	4.71	7.69	5.18	0.7666936045362571
13	3	1992	0.33	4.65	4.05	0.9622211136277756
14	3	1992	-0.88	4.38	1.53	1.0198414631481396
15	3	1992	0.58	7.1	3.93	1.3939309460131122
16	3	1992	2.9	10.62	0.54	1.4638519058806703
17	3	1992	4.01	10.89	0.28	1.596406635793996
18	3	1992	3.06	8.23	3.65	1.072531751088823
19	3	1992	3.68	10.28	0.67	1.1253508097681073
20	3	1992	7.84	11.18	2.2	1.2502563566344793
21	3	1992	3.48	8.23	5.91	1.5527595898358983
22	3	1992	2.66	7.31	10.28	1.3956764121635352
23	3	1992	2.08	7.08	2.3	1.3791636843638653
24	3	1992	2.44	7.94	0.63	1.101344662419955
25	3	1992	1.15	6.05	3.94	0.9689698156707252
26	3	1992	1.7	5.94	1.26	1.3707631477596132
27	3	1992	0.25	4.17	1.55	1.178085179023584
28	3	1992	1.39	8.18	1.5	1.2471931183795522
29	3	1992	3.77	6.4	6.21	0.7942478936925507
30	3	1992	1.36	5.96	6.58	1.3828477746318308
31	3	1992	1.96	7.92	5.82	0.8400877285105419
1	4	1992	0.57	7.85	1.99	0.953702128252891
2	4	1992	0.32	2.89	5.52	0.7241295533992114
3	4	1992	-1.15	5.76	0.74	1.366768554099758
4	4	1992	-1.95	6.54	0.55	1.5620454159630957
5	4	1992	0.68	6.65	0.54	1.3254783679784914
6	4	1992	2.23	7.93	3.12	1.3078890205595552
7	4	1992	2.62	8.15	2.75	1.178614311420337
8	4	1992	3.05	13.89	0.19	3.061657452796475
9	4	1992	0.75	14.57	0.0	3.143901825513426
10	4	1992	5.55	12.31	0.0	2.268493204785038
11	4	1992	4.87	14.37	0.13	2.415906103832885
12	4	1992	2.55	8.84	1.99	1.9555269722368418
13	4	1992	2.08	8.24	4.43	1.7797289758742125
14	4	1992	1.7	7.11	16.9	1.0566573412388225
15	4	1992	0.77	5.48	2.38	1.7025898215593231
16	4	1992	0.11	6.82	1.05	1.9030122961958198
17	4	1992	3.88	11.71	3.65	1.4582140991412578
18	4	1992	4.91	11.5	1.79	1.79623601900223
19	4	1992	3.95	10.99	0.25	2.47030511200478
20	4	1992	5.47	12.59	1.08	1.5165631041974499
21	4	1992	5.5	11.76	1.38	2.1105792356658206
22	4	1992	5.64	11.08	4.16	1.6578768062554672
23	4	1992	5.54	9.67	0.95	1.6466954482466056
24	4	1992	4.61	10.44	3.29	1.7597272721821473
25	4	1992	3.94	12.12	0.8	2.901327654008619
26	4	1992	5.62	11.93	3.52	2.3979902390025383
27	4	1992	5.11	9.9	1.85	1.817925242930925
28	4	1992	3.27	9.63	1.44	2.312285700272767
29	4	1992	2.94	8.01	0.92	1.9593468088016674
30	4	1992	3.65	12.27	9.28	1.468868004811568
1	5	1992	4.0	9.15	1.53	2.1972550186045696
2	5	1992	2.98	10.72	1.14	2.3621655902621335
3	5	1992	2.18	12.19	0.08	2.9051633761574855
4	5	1992	4.37	10.28	1.4	1.2752630739916562
5	5	1992	4.15	12.99	0.36	2.905388359623442
6	5	1992	6.51	12.5	1.42	1.1249541024878797
